"stream","date","year","TP_mt","SRP_mt","TKN_mt","water_year"
"Portage",2016-01-10,2016,0.481207157887761,0.174171713136826,2.28349905320537,2016
"Portage",2016-01-11,2016,2.31117716235999,0.419832363734784,10.7756973358595,2016
"Portage",2016-01-12,2016,0.621317695201344,0.149099206938958,2.67739575888958,2016
"Portage",2016-01-13,2016,0.107934301154186,0.0368904447164252,0.524201319276945,2016
"Portage",2016-01-14,2016,0.12521558966203,0.055282821042839,0.604425510068374,2016
"Portage",2016-01-15,2016,0.0693911457247648,0.0369706923943419,0.427295887096144,2016
"Portage",2016-01-16,2016,0.988417315818012,0.252009514140451,4.60097370102138,2016
"Portage",2016-01-17,2016,1.10141613029356,0.229252012092781,3.71500089840107,2016
"Portage",2016-01-18,2016,0.433198103806915,0.103728442064156,1.67371994652672,2016
"Portage",2016-01-21,2016,0.0770459912938405,0.0332288997539224,0.501812706453303,2016
"Portage",2016-01-22,2016,0.0344037453312269,0.0226455032559974,0.304843313061504,2016
"Portage",2016-01-23,2016,0.0434246608223012,0.0316758135971693,0.349009873452447,2016
"Portage",2016-01-24,2016,0.0317849797980425,0.0236559389565946,0.24731208909167,2016
"Portage",2016-01-25,2016,0.0200891362729113,0.0150395076453283,0.164796544380325,2016
"Portage",2016-01-26,2016,0.0220852374559085,0.0167443630384666,0.160226232523258,2016
"Portage",2016-01-27,2016,0.0237284554557851,0.0182768979606313,0.161025773411769,2016
"Portage",2016-01-28,2016,0.0213962817820873,0.0161204862741754,0.161497962492193,2016
"Portage",2016-01-29,2016,0.0158665928968643,0.0127784640780115,0.134173872819121,2016
"Portage",2016-01-30,2016,0.0129217404351504,0.00909744437416067,0.0950177523523447,2016
"Portage",2016-01-31,2016,0.104698019953131,0.098841652068096,0.129729668339376,2016
"Portage",2016-02-01,2016,0.0536319371062509,0.052688798543679,0.14790951880334,2016
"Portage",2016-02-02,2016,0.0332563014000403,0.0239715472020595,0.173878124071277,2016
"Portage",2016-02-03,2016,0.194484846993082,0.0553562183092263,1.00240885321624,2016
"Portage",2016-02-04,2016,1.30011350737266,0.18430869115008,5.49239899627238,2016
"Portage",2016-02-05,2016,0.540702657849965,0.096488780365277,2.40564072865247,2016
"Portage",2016-02-06,2016,0.136915162855661,0.043787830496385,0.720153426556618,2016
"Portage",2016-02-07,2016,0.0686361325111951,NA,0.429711635790501,2016
"Portage",2016-02-08,2016,0.0471400304468212,0.025785112101969,0.32516929959463,2016
"Portage",2016-02-09,2016,0.0340199265595328,0.0225838495522322,0.270525687189505,2016
"Portage",2016-02-10,2016,0.0254819650812863,0.0177406086008955,0.224983172711356,2016
"Portage",2016-02-11,2016,0.0148906906101024,0.010705725275237,0.106327316938149,2016
"Portage",2016-02-12,2016,0.0180002391978625,0.0140188778799552,0.152805768891512,2016
"Portage",2016-02-13,2016,0.0165331257058042,0.0128144287385412,0.140456189506756,2016
"Portage",2016-02-14,2016,0.0152109962806161,0.0121149527898712,0.11868166714522,2016
"Portage",2016-02-15,2016,0.0128848803279708,0.00930721376149528,0.0889796039042244,2016
"Portage",2016-02-16,2016,0.011703480374778,0.00712540662086938,0.0748167695191285,2016
"Portage",2016-02-17,2016,0.0132899843069172,0.00809131464652493,0.07706977200815,2016
"Portage",2016-02-18,2016,0.0156092498480331,0.0062622547681559,0.0992683348433603,2016
"Portage",2016-02-19,2016,0.0122326232873432,0.00735088302321085,0.0814251657955664,2016
"Portage",2016-02-20,2016,0.0103477814865199,0.00584300958255222,0.0893415013590242,2016
"Portage",2016-02-21,2016,0.010101328145445,0.00449382103182271,0.0894856535902087,2016
"Portage",2016-02-22,2016,0.00879319639448208,0.0028869591445632,0.092322547643844,2016
"Portage",2016-02-23,2016,0.00700949765779071,0.00389416536543928,0.0791813624305988,2016
"Portage",2016-02-24,2016,0.0200866886099981,0.00647305171721994,0.133102125935335,2016
"Portage",2016-02-25,2016,3.23965105304835,0.388084987802887,12.8960984884942,2016
"Portage",2016-02-26,2016,1.78125770671637,0.351741176023924,7.67266995929698,2016
"Portage",2016-02-27,2016,0.647036354233851,0.149040489125848,3.58557022877762,2016
"Portage",2016-02-28,2016,0.247376678686091,0.0700992825508685,1.62335180644116,2016
"Portage",2016-02-29,2016,0.18704569424258,0.0586072822634154,1.28770151312731,2016
"Portage",2016-03-01,2016,0.0948157630752472,0.0346119489102119,0.736290549544508,2016
"Portage",2016-03-02,2016,0.472800504119081,0.0742498979650646,2.40798130631317,2016
"Portage",2016-03-03,2016,0.473630602736165,0.0656714701272833,2.60596333732356,2016
"Portage",2016-03-04,2016,0.141687257390113,0.0384562530660188,0.983037969000106,2016
"Portage",2016-03-05,2016,0.0882017886065638,0.0340876477706527,0.650861024620899,2016
"Portage",2016-03-06,2016,0.106904097123175,0.0318720289559777,0.796800723899443,2016
"Portage",2016-03-07,2016,0.124757275383371,0.0339204107399808,0.960745751252986,2016
"Portage",2016-03-08,2016,0.105819872704104,0.0248833859081432,0.724237495115956,2016
"Portage",2016-03-09,2016,0.0738206218197214,0.0181526119228823,0.723079041594812,2016
"Portage",2016-03-10,2016,0.287221815991077,0.0456644762691284,1.38696171990302,2016
"Portage",2016-03-11,2016,3.93990401372372,0.342741311956216,14.8119826437295,2016
"Portage",2016-03-12,2016,1.99952244705689,0.265956353962656,8.24464697284234,2016
"Portage",2016-03-13,2016,0.680262990905393,0.118306607113981,3.97805966420763,2016
"Portage",2016-03-14,2016,3.05109890403913,0.336398021169134,13.0276363290732,2016
"Portage",2016-03-15,2016,2.77707405824197,0.331703450458491,10.6145104146717,2016
"Portage",2016-03-16,2016,2.44744829410569,0.319185682597018,9.07837739540363,2016
"Portage",2016-03-17,2016,0.734847926273667,0.126110265640657,3.50950099607198,2016
"Portage",2016-03-18,2016,0.221896670865242,0.0532648855323003,1.2844100806766,2016
"Portage",2016-03-19,2016,0.101864885470585,0.0341541946255104,0.690768586300948,2016
"Portage",2016-03-20,2016,0.0573329534875663,0.0244956036840641,0.472698946768156,2016
"Portage",2016-03-21,2016,0.0401360174677217,0.0160843313244365,0.321499599380306,2016
"Portage",2016-03-22,2016,0.0265458095260578,0.0113971275246044,0.287777469996262,2016
"Portage",2016-03-23,2016,0.0194228739464901,0.00696784715569152,0.260858777891201,2016
"Portage",2016-03-24,2016,0.228826620565722,0.0274708842058466,0.91676769950788,2016
"Portage",2016-03-25,2016,2.37022830779584,0.218494963099419,9.93962635602559,2016
"Portage",2016-03-26,2016,0.997522218169963,0.150380233894969,3.90720071994965,2016
"Portage",2016-03-27,2016,0.30065262273986,0.0613679437414472,1.74898639663124,2016
"Portage",2016-03-28,2016,4.01990780373766,0.382628176286748,11.9574195030517,2016
"Portage",2016-03-29,2016,2.36582425433922,0.390697998446703,8.30739130561775,2016
"Portage",2016-03-30,2016,0.96219865014112,0.216442666794542,3.38399784815313,2016
"Portage",2016-03-31,2016,1.08920989169244,0.205871992489457,3.27336468058237,2016
"Portage",2016-04-01,2016,2.9675240617757,0.399244430513175,10.1219071078896,2016
"Portage",2016-04-02,2016,1.69993793939533,0.258336358503028,6.2847730494835,2016
"Portage",2016-04-03,2016,0.461402128840948,0.113227516279987,2.22100128087667,2016
"Portage",2016-04-04,2016,0.337284469857883,0.0966496562995286,1.90635739393952,2016
"Portage",2016-04-05,2016,0.118750513781091,0.0438152321425029,0.684191701917545,2016
"Portage",2016-04-06,2016,0.0700151203520778,0.0292806161374003,0.556331706610606,2016
"Portage",2016-04-07,2016,1.47712810867321,0.194064329588194,5.62537755383213,2016
"Portage",2016-04-08,2016,3.69511692651664,0.454298360821576,11.6446320776391,2016
"Portage",2016-04-09,2016,1.56684961214608,0.26233650952113,4.76116323491144,2016
"Portage",2016-04-10,2016,1.59475782173082,0.257905149563003,5.80951290510476,2016
"Portage",2016-04-11,2016,1.44697228824032,0.312453233387112,6.38004942933684,2016
