SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0471,,0.1,6833,NG/G DWT,"2,4,5-TRICHLOROBIPHENYL (PCB 29)","2,4,5-TRICHLOROBIPHÉNYLE (BPC 29)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0471,,0.1,6835,NG/G DWT,"2,4',5-TRICHLOROBIPHENYL (PCB 31)","2,4',5-TRICHLOROBIPHÉNYLE (BPC 31)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0466,,0.5,6817,NG/G DWT,"2,4-DICHLORO-1-PHENYLBENZENE/1,4-DICHLORO-2-PHENYLBENZENE (PCB 7/9)","2,4-DICHLORO-1-PHÉNYLBENZÈNE/1,4-DICHLORO-2-PHÉNYLBENZÈNE (BPC 7/9)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,2.14,,1,1521,NG/G,"2,6-DIMETHYLNAPHTHALENE","2,6-DIMÉTHYLNAPHTALÈNE",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.147,,0.5,6811,NG/G DWT,2-CHLOROBIPHENYL (PCB 1),2-CHLOROBIPHÉNYLE (BPC 1),P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,,1.72,,1,1518,NG/G,2-METHYLNAPHTHALENE,2-MÉTHYLNAPHTALÈNE,P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0401,,0.1,6942,NG/G DWT,"3,3',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 169)","3,3',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 169)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0716,,0.1,6906,NG/G DWT,"3,3',4,4'5-PENTACHLOROBIPHENYL (PCB 126)","3,3',4,4'5-PENTACHLOROBIPHÉNYLE (BPC 126)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0853,,0.1,6866,NG/G DWT,"3,3'4,4'-TETRACHLOROBIPHENYL (PCB 77)","3,3'4,4'-TÉTRACHLOROBIPHÉNYLE (BPC 77)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0853,,0.1,6869,NG/G DWT,"3,4,4',5-TETRACHLOROBIPHENYL (PCB 81)","3,4,4',5-TÉTRACHLOROBIPHÉNYLE (BPC 81)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0466,,0.5,6820,NG/G DWT,"3,5-DICHLOROBIPHENYL (PCB 14)","3,5-DICHLOROBIPHÉNYL (BPC 14)",P
ON02IE0146,2014-07-25 0:00,S.SURFACE,0,-0.03,<,0.0516,,0.5,6821,NG/G DWT,"4,4'-DICHLOROBIPHENYL (PCB 15)","4,4'-DICHLOROBIPHÉNYLE (BPC 15)",P
